Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
45,Radeon RX 9070,Desktop,Mar 2025,"25,412","1,269",$629.99,PCIe 5.0 x16,220,1330 MHz,1330 MHz,16384 MB
46,RTX 5880 Ada Generation,Desktop,Aug 2024,"25,096",777,NA,NA,NA,NA,NA,NA
47,Radeon RX 6800 XT,Desktop,Nov 2020,"25,045","1,043",$419.00,PCIe 4.0 x16,300,2015 MHz,2015 MHz,16384 MB
48,GeForce RTX 3080,Desktop,Sep 2020,"25,036","1,062",$639.99,PCIe 4.0 x16,320,1440 MHz,1440 MHz,10240 MB
49,GeForce RTX 4080 Laptop GPU,Mobile,Feb 2023,"24,701",921,NA,PCIe 4.0 x16,150,1860 MHz,1860 MHz,12288 MB
50,Radeon RX 9070 GRE,Desktop,May 2025,"24,418","1,215",NA,NA,NA,NA,NA,NA
51,Radeon RX 7800 XT,Desktop,Jun 2023,"24,319","1,191",$549.99,PCIe 4.0 x16,263,1295 MHz,1295 MHz,16384 MB
52,L20-8Q,Desktop,Mar 2026,"24,277",703,NA,NA,NA,NA,NA,NA
53,RTX PRO 5000 Blackwell Generation Laptop GPU,Desktop,Aug 2025,"24,020",843,NA,NA,NA,NA,NA,NA
54,RTX 4000 Ada Generation,Unknown,Oct 2023,"23,751","1,120",NA,NA,NA,NA,NA,NA
55,RTX PRO 4000 Blackwell Generation Laptop GPU,Desktop,Jun 2025,"23,643",889,NA,NA,NA,NA,NA,NA
56,RTX 3500 Ada Generation Embedded GPU,Desktop,Dec 2024,"23,495",988,NA,NA,NA,NA,NA,NA
57,RTX 5000 Ada Generation Laptop GPU,Mobile,Apr 2023,"23,320",752,NA,NA,NA,NA,NA,NA
58,GeForce RTX 3070 Ti,Desktop,Jun 2021,"23,262","1,061",$599.89*,PCIe 4.0 x16,290,1575 MHz,1575 MHz,8192 MB
Insufficient data,RTX6000-Ada-6Q,Desktop,Nov 2025,"23,236",839,NA,NA,NA,NA,NA,NA
59,RTX PRO 4000 Blackwell SFF Edition,Desktop,Sep 2025,"23,183","1,085",NA,NA,NA,NA,NA,NA
60,RTX A5000,Workstation,May 2021,"23,029","1,068","$2,229.99*",PCIe 4.0 x16,230,1170 MHz,1170 MHz,24576 MB
