Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1357,Intel Core i7-1265U,"Laptop, Mobile/Embedded",Mar 2022,"13,188","3,125",$426.00*,FCBGA1744,15,1,2,2,1800,4800
1358,Intel Xeon E5-2675 v3 @ 1.80GHz,Server,Jan 2016,"13,180","1,186",NA,LGA2011-v3,NA,1,16,2,1800,2300
1359,AMD Ryzen Embedded V2516,Mobile/Embedded,May 2022,"13,175","2,468",NA,FP6,15,1,6,2,2100,3950
1360,Intel Xeon D-1581 @ 1.80GHz,Server,Nov 2021,"13,173","1,488",NA,FCBGA1667,65,1,16,2,1800,2400
1361,AMD Ryzen 5 3500X,Desktop,Oct 2019,"13,163","2,501",$67.99,AM4,65,1,6,1,3600,4100
1362,Intel Core i7-9700F @ 3.00GHz,Desktop,Jun 2019,"13,163","2,736",$133.68,FCLGA1151-2,65,1,8,1,3000,4700
1363,AMD Ryzen 5 2600,Desktop,Apr 2018,"13,139","2,236",$302.99,AM4,65,1,6,2,3400,3900
1364,AMD Ryzen 7 4700U,Laptop,Apr 2020,"13,138","2,493",NA,FP6,15,1,8,1,2000,4100
1365,MediaTek MT6993,Mobile/Embedded,Dec 2025,"13,131","2,884",NA,Unknown,NA,1,8,1,4210,NA
1366,Intel Xeon Silver 4114 @ 2.20GHz,Server,Oct 2017,"13,130","1,686",$578.45,FCLGA3647,85,1,10,2,2200,3000
1367,Intel Core i5-1334U,Laptop,May 2023,"13,120","3,271",$340.00*,FCBGA1744,15,1,2,2,1300,4600
1368,AMD Ryzen 3 7440U,Laptop,Dec 2023,"13,100","3,158",NA,FP7 FP7r2,28,1,4,2,3000,4700
1370,Intel Atom P5342,Server,May 2024,"13,085","1,185",$632.00*,FCBGA2106,71,1,16,1,2200,NA
1369,Intel Core i9-9900T @ 2.10GHz,Desktop,Nov 2019,"13,085","2,457",$439.00*,FCLGA1151-2,35,1,8,2,2100,4400
